city_alias,city_alias_norm,metro_title,primary_state,region,population,alias_match_rank
Little Rock North Little Rock Conway,LITTLE ROCK NORTH LITTLE ROCK CONWAY,"Little Rock-North Little Rock-Conway, AR",AR,South,770959,1
Little Rock-North Little Rock-Conway,LITTLE ROCK-NORTH LITTLE ROCK-CONWAY,"Little Rock-North Little Rock-Conway, AR",AR,South,770959,1
Lodi,LODI,"Stockton-Lodi, CA",CA,West,816108,1
Logan,LOGAN,"Logan, UT-ID",UT,West,160053,1
Long Beach,LONG BEACH,"Los Angeles-Long Beach-Anaheim, CA",CA,West,12927614,1
Longview,LONGVIEW,"Longview, TX",TX,South,295490,1
Longview,LONGVIEW,"Longview-Kelso, WA",WA,West,113982,2
Longview Kelso,LONGVIEW KELSO,"Longview-Kelso, WA",WA,West,113982,1
Longview-Kelso,LONGVIEW-KELSO,"Longview-Kelso, WA",WA,West,113982,1
Los Angeles,LOS ANGELES,"Los Angeles-Long Beach-Anaheim, CA",CA,West,12927614,1
Los Angeles Long Beach Anaheim,LOS ANGELES LONG BEACH ANAHEIM,"Los Angeles-Long Beach-Anaheim, CA",CA,West,12927614,1
Los Angeles-Long Beach-Anaheim,LOS ANGELES-LONG BEACH-ANAHEIM,"Los Angeles-Long Beach-Anaheim, CA",CA,West,12927614,1
Louisville,LOUISVILLE,"Louisville/Jefferson County, KY-IN",KY,South,1396762,1
Louisville/Jefferson County,LOUISVILLE JEFFERSON COUNTY,"Louisville/Jefferson County, KY-IN",KY,South,1396762,1
Loveland,LOVELAND,"Fort Collins-Loveland, CO",CO,West,374574,1
Lubbock,LUBBOCK,"Lubbock, TX",TX,South,367530,1
Lynchburg,LYNCHBURG,"Lynchburg, VA",VA,South,267427,1
Macon,MACON,"Macon-Bibb County, GA",GA,South,236551,1
Macon Bibb County,MACON BIBB COUNTY,"Macon-Bibb County, GA",GA,South,236551,1
Macon-Bibb County,MACON-BIBB COUNTY,"Macon-Bibb County, GA",GA,South,236551,1
Madison,MADISON,"Madison, WI",WI,Midwest,707606,1
Manchester,MANCHESTER,"Manchester-Nashua, NH",NH,Northeast,430462,1
Manchester Nashua,MANCHESTER NASHUA,"Manchester-Nashua, NH",NH,Northeast,430462,1
Manchester-Nashua,MANCHESTER-NASHUA,"Manchester-Nashua, NH",NH,Northeast,430462,1
Mandeville,MANDEVILLE,"Slidell-Mandeville-Covington, LA",LA,South,277615,1
Manhattan,MANHATTAN,"Manhattan, KS",KS,Midwest,134892,1
Mankato,MANKATO,"Mankato, MN",MN,Midwest,105193,1
Mansfield,MANSFIELD,"Mansfield, OH",OH,Midwest,124853,1
Marco Island,MARCO ISLAND,"Naples-Marco Island, FL",FL,South,416233,1
Martinsburg,MARTINSBURG,"Hagerstown-Martinsburg, MD-WV",MD,South,312992,1
Massillon,MASSILLON,"Canton-Massillon, OH",OH,Midwest,400551,1
McAllen,MCALLEN,"McAllen-Edinburg-Mission, TX",TX,South,914820,1
McAllen Edinburg Mission,MCALLEN EDINBURG MISSION,"McAllen-Edinburg-Mission, TX",TX,South,914820,1
McAllen-Edinburg-Mission,MCALLEN-EDINBURG-MISSION,"McAllen-Edinburg-Mission, TX",TX,South,914820,1
Medford,MEDFORD,"Medford, OR",OR,West,221331,1
Melbourne,MELBOURNE,"Palm Bay-Melbourne-Titusville, FL",FL,South,658447,1
Memphis,MEMPHIS,"Memphis, TN-MS-AR",TN,South,1337653,1
Merced,MERCED,"Merced, CA",CA,West,296774,1
Mesa,MESA,"Phoenix-Mesa-Chandler, AZ",AZ,West,5186958,1
Metairie,METAIRIE,"New Orleans-Metairie, LA",LA,South,966230,1
Miami,MIAMI,"Miami-Fort Lauderdale-West Palm Beach, FL",FL,South,6457988,1
Miami Fort Lauderdale West Palm Beach,MIAMI FORT LAUDERDALE WEST PALM BEACH,"Miami-Fort Lauderdale-West Palm Beach, FL",FL,South,6457988,1
Miami-Fort Lauderdale-West Palm Beach,MIAMI-FORT LAUDERDALE-WEST PALM BEACH,"Miami-Fort Lauderdale-West Palm Beach, FL",FL,South,6457988,1
Michigan City,MICHIGAN CITY,"Michigan City-La Porte, IN",IN,Midwest,111348,1
Michigan City La Porte,MICHIGAN CITY LA PORTE,"Michigan City-La Porte, IN",IN,Midwest,111348,1
Michigan City-La Porte,MICHIGAN CITY-LA PORTE,"Michigan City-La Porte, IN",IN,Midwest,111348,1
Midland,MIDLAND,"Midland, TX",TX,South,188071,1
Midland,MIDLAND,"Midland, MI",MI,Midwest,84022,2
Milwaukee,MILWAUKEE,"Milwaukee-Waukesha, WI",WI,Midwest,1574452,1
Milwaukee Waukesha,MILWAUKEE WAUKESHA,"Milwaukee-Waukesha, WI",WI,Midwest,1574452,1
Milwaukee-Waukesha,MILWAUKEE-WAUKESHA,"Milwaukee-Waukesha, WI",WI,Midwest,1574452,1
Minneapolis,MINNEAPOLIS,"Minneapolis-St. Paul-Bloomington, MN-WI",MN,Midwest,3757952,1
Minneapolis St Paul Bloomington,MINNEAPOLIS SAINT PAUL BLOOMINGTON,"Minneapolis-St. Paul-Bloomington, MN-WI",MN,Midwest,3757952,1
